Date,Event Type,Number of Drivers,Demand,Inventory Level,Depot,Quantity Delivered,Distance from Depot (km),Number of Stations,Discounts
9/10/2023,Repair,1,10,4398675,Depot B,98,55,19,16
8/9/2023,Maintenance,3,9,5405152,Depot A,3,19,13,8
9/17/2023,Inspection,6,48,3088750,Depot A,4,12,15,4
12/8/2023,Inspection,10,37,3865785,Depot B,92,4,17,5
5/6/2023,Maintenance,4,50,5692235,Depot B,45,97,16,0
1/5/2024,Maintenance,0,29,9739665,Depot B,18,95,14,15
11/13/2023,Maintenance,8,27,5323969,Depot B,92,60,8,18
1/2/2024,Inspection,7,42,7084475,Depot B,4,5,10,6
8/15/2023,Inspection,0,43,6633301,Depot B,44,96,9,4
11/9/2023,Inspection,5,45,8665649,Depot A,44,4,8,5
8/4/2023,Repair,2,31,8513208,Depot A,32,93,1,15
5/20/2023,Maintenance,7,6,7236680,Depot A,66,58,17,15
5/16/2023,Maintenance,3,47,48748,Depot A,27,94,1,20
1/7/2024,Inspection,10,23,6450585,Depot A,22,42,17,7
10/10/2023,Maintenance,10,34,205673,Depot A,61,95,6,0
8/25/2023,Inspection,6,47,6759756,Depot A,86,81,19,13
5/2/2023,Inspection,10,30,2515750,Depot A,54,1,10,14
9/17/2023,Maintenance,3,36,5590316,Depot A,7,51,13,2
11/2/2023,Inspection,5,34,2650047,Depot B,19,6,6,8
3/30/2023,Inspection,4,49,3478380,Depot B,28,96,19,17
12/2/2023,Repair,9,14,6139838,Depot B,66,88,14,17
7/26/2023,Maintenance,10,17,790260,Depot A,19,64,19,8
1/2/2024,Inspection,4,49,7962041,Depot B,11,78,20,4
9/16/2023,Maintenance,1,2,3239672,Depot B,10,39,9,3
6/27/2023,Repair,4,26,4578233,Depot A,76,92,16,2
3/21/2023,Maintenance,9,22,7436822,Depot B,37,96,16,11
6/5/2023,Repair,8,44,1452068,Depot B,25,36,10,6
1/12/2024,Inspection,8,3,6608454,Depot A,47,83,0,14
6/28/2023,Maintenance,4,36,9023991,Depot A,92,89,16,10
12/18/2023,Maintenance,4,26,656252,Depot B,94,95,17,18
8/22/2023,Repair,8,4,4061054,Depot A,99,91,10,9
12/11/2023,Maintenance,4,20,6813024,Depot B,38,39,6,6
11/15/2023,Maintenance,7,7,2761073,Depot B,16,83,10,16
9/17/2023,Inspection,5,29,6742492,Depot B,68,6,17,2
12/15/2023,Inspection,0,31,2034268,Depot A,63,45,18,1
6/13/2023,Inspection,3,8,94017,Depot A,50,31,10,9
4/21/2023,Repair,1,12,5373740,Depot B,68,66,8,19
1/11/2024,Repair,9,28,56035,Depot B,1,8,10,16
9/18/2023,Maintenance,7,18,8236332,Depot A,44,88,11,6
4/1/2023,Maintenance,10,9,7552095,Depot B,29,42,13,14
5/9/2023,Inspection,10,1,9259691,Depot B,92,72,6,6
10/13/2023,Maintenance,7,33,4639510,Depot A,68,29,10,13
12/16/2023,Inspection,2,48,6292004,Depot B,80,24,18,0
2/23/2024,Inspection,4,30,4636888,Depot B,47,34,20,10
7/14/2023,Repair,2,33,3739754,Depot B,48,45,0,5
1/28/2024,Maintenance,8,30,7071672,Depot B,70,85,11,16
5/10/2023,Inspection,7,1,9320024,Depot A,92,85,2,17
8/6/2023,Repair,3,5,2080255,Depot A,7,7,15,7
5/26/2023,Maintenance,8,5,3207128,Depot A,64,98,16,3
10/4/2023,Inspection,3,1,7828492,Depot B,81,50,8,7
7/19/2023,Maintenance,9,29,9965208,Depot A,13,11,14,12
12/28/2023,Repair,3,42,4974371,Depot A,72,62,4,16
8/17/2023,Repair,4,49,1006192,Depot A,60,43,4,4
10/30/2023,Repair,9,19,9371438,Depot B,17,1,20,5
11/16/2023,Maintenance,7,42,1753644,Depot A,88,46,20,6
8/15/2023,Inspection,5,42,7651136,Depot B,2,38,9,1
5/31/2023,Inspection,7,20,831989,Depot B,52,20,12,8
11/14/2023,Repair,9,39,5462275,Depot B,11,2,0,3
6/30/2023,Repair,3,13,7278260,Depot B,50,64,16,4
5/1/2023,Inspection,10,27,7526344,Depot B,98,81,12,10
2/7/2024,Inspection,6,7,4929774,Depot A,44,32,11,13
8/31/2023,Inspection,4,23,7037478,Depot B,65,66,12,18
7/6/2023,Inspection,3,32,5501404,Depot B,56,90,9,19
5/25/2023,Inspection,2,49,7294211,Depot B,85,83,2,13
3/7/2023,Inspection,8,28,3989519,Depot A,97,8,10,14
8/6/2023,Inspection,2,40,5749695,Depot A,95,21,18,19
8/28/2023,Repair,4,24,7964007,Depot A,43,13,16,2
8/16/2023,Repair,9,8,8549879,Depot B,71,37,12,1
12/31/2023,Inspection,7,7,2436311,Depot B,68,42,12,7
1/29/2024,Repair,10,39,4007025,Depot B,64,4,15,17
4/19/2023,Inspection,9,49,4247929,Depot B,51,58,0,1
8/17/2023,Inspection,6,5,5248337,Depot A,41,55,0,12
10/24/2023,Repair,3,6,8085010,Depot A,0,37,3,0
6/18/2023,Inspection,10,2,6848364,Depot A,81,69,1,5
11/28/2023,Inspection,0,9,7835734,Depot B,80,9,18,4
2/23/2024,Repair,9,46,341249,Depot A,57,76,8,5
12/2/2023,Maintenance,4,28,3594179,Depot B,17,54,16,17
10/10/2023,Inspection,9,8,6220494,Depot B,37,33,17,3
7/23/2023,Repair,1,22,8201900,Depot A,93,94,13,8
4/15/2023,Inspection,5,50,8925876,Depot A,67,41,19,6
4/25/2023,Repair,5,44,8866842,Depot A,77,80,6,3
10/11/2023,Inspection,7,36,8333103,Depot B,77,95,15,20
9/4/2023,Repair,5,35,967406,Depot A,56,62,10,12
5/13/2023,Inspection,6,28,5623015,Depot A,83,4,17,3
4/7/2023,Maintenance,0,0,6900706,Depot B,39,8,0,6
6/17/2023,Maintenance,0,44,8398643,Depot B,20,18,10,10
12/4/2023,Repair,10,49,811856,Depot A,25,55,18,7
9/9/2023,Repair,1,49,6344236,Depot A,77,25,17,8
7/13/2023,Inspection,7,35,1376214,Depot B,59,37,15,7
9/10/2023,Inspection,7,46,3961387,Depot A,75,82,0,12
7/17/2023,Maintenance,3,38,3013893,Depot A,76,63,17,13
4/11/2023,Maintenance,1,23,3282796,Depot B,57,45,7,15
2/11/2024,Inspection,10,35,8410643,Depot B,61,15,14,1
3/31/2023,Maintenance,9,42,7568648,Depot A,31,71,18,18
8/25/2023,Repair,0,39,7877103,Depot B,58,55,15,5
12/14/2023,Inspection,2,20,7151489,Depot A,53,4,11,6
7/4/2023,Inspection,3,29,1179281,Depot A,75,15,7,2
5/24/2023,Maintenance,2,3,3243369,Depot A,94,43,7,15
6/7/2023,Inspection,10,50,3629830,Depot A,46,57,1,5
2/10/2024,Inspection,9,8,4997493,Depot A,49,78,19,10
2/25/2024,Maintenance,6,36,2257145,Depot B,78,97,14,10
4/25/2023,Repair,4,21,5742553,Depot B,22,92,2,11
4/13/2023,Maintenance,10,32,5761995,Depot B,36,70,1,3
8/27/2023,Maintenance,4,12,3649405,Depot B,62,20,2,11
1/28/2024,Inspection,9,17,4825681,Depot A,89,78,12,19
11/29/2023,Repair,8,47,981266,Depot A,75,27,6,1
5/9/2023,Inspection,10,10,7734645,Depot B,0,94,15,19
12/1/2023,Repair,7,27,9574203,Depot B,77,44,14,17
8/13/2023,Repair,8,27,256035,Depot B,41,42,9,13
12/3/2023,Inspection,4,24,4187643,Depot A,71,32,8,18
8/16/2023,Inspection,1,6,5549913,Depot A,100,71,2,17
8/9/2023,Inspection,6,37,1277166,Depot A,8,51,18,18
7/20/2023,Inspection,9,20,6881489,Depot A,18,46,18,1
11/7/2023,Maintenance,4,13,2733890,Depot A,76,66,15,1
3/19/2023,Maintenance,10,34,7101232,Depot B,42,0,3,8
2/1/2024,Maintenance,10,47,8276346,Depot B,82,17,20,17
6/7/2023,Maintenance,2,49,2594963,Depot A,92,37,17,3
5/22/2023,Repair,3,22,5478625,Depot B,66,30,7,4
10/30/2023,Maintenance,5,7,5967808,Depot A,88,11,6,15
8/12/2023,Repair,4,48,442218,Depot A,75,32,14,19
10/8/2023,Repair,1,45,1962842,Depot B,70,19,16,6
6/5/2023,Repair,10,14,9867222,Depot A,21,32,3,2
7/24/2023,Maintenance,4,8,3667287,Depot B,10,24,19,1
6/21/2023,Maintenance,7,47,2014089,Depot B,94,50,12,1
6/30/2023,Repair,9,27,7405237,Depot A,38,12,1,12
11/25/2023,Maintenance,2,3,8690950,Depot A,9,63,5,6
6/6/2023,Inspection,9,48,9993786,Depot A,24,56,9,13
8/6/2023,Repair,5,41,9803602,Depot B,20,7,9,9
11/24/2023,Repair,7,0,869232,Depot B,19,68,16,9
1/6/2024,Maintenance,0,21,1953532,Depot B,22,78,14,18
1/25/2024,Maintenance,8,42,5618137,Depot B,52,15,15,16
11/2/2023,Maintenance,6,13,7947567,Depot A,72,90,14,1
6/6/2023,Repair,7,49,4840417,Depot A,37,23,1,8
2/13/2024,Inspection,0,33,7167144,Depot A,90,98,4,7
5/18/2023,Repair,10,36,5456411,Depot A,72,25,18,11
8/25/2023,Maintenance,4,24,2128457,Depot B,11,93,18,2
2/9/2024,Repair,9,14,4681965,Depot B,69,100,0,19
4/26/2023,Repair,7,40,9086748,Depot A,97,61,16,0
7/14/2023,Inspection,0,46,4260562,Depot B,44,41,6,6
3/1/2023,Repair,8,33,4504404,Depot B,81,52,18,20
2/13/2024,Inspection,8,33,9987759,Depot B,20,39,14,8
4/13/2023,Inspection,2,40,2890749,Depot B,36,38,4,6
9/21/2023,Repair,3,0,2183673,Depot A,49,32,13,19
8/23/2023,Inspection,0,14,3908474,Depot B,24,41,18,18
1/1/2024,Inspection,0,37,9449666,Depot B,8,43,7,5
9/15/2023,Inspection,7,22,366772,Depot A,60,62,17,20
9/25/2023,Maintenance,4,33,3033868,Depot A,63,93,0,2
8/30/2023,Maintenance,9,34,9910318,Depot B,58,57,17,11
8/6/2023,Repair,2,4,6477214,Depot A,69,64,9,6
4/2/2023,Repair,9,18,2589269,Depot B,31,89,2,18
2/22/2024,Repair,10,12,3175999,Depot A,83,24,4,8
12/17/2023,Maintenance,10,5,1320613,Depot A,86,96,7,5
1/27/2024,Inspection,6,49,6346527,Depot B,16,54,4,11
1/17/2024,Inspection,4,48,1125870,Depot A,4,41,3,0
7/20/2023,Inspection,5,47,7515384,Depot A,7,80,16,2
3/2/2023,Maintenance,8,28,760364,Depot A,50,13,12,11
12/7/2023,Inspection,9,31,5725689,Depot A,13,28,4,2
6/9/2023,Repair,6,9,4187889,Depot A,55,32,3,15
7/6/2023,Maintenance,1,2,3519526,Depot A,90,91,15,6
8/17/2023,Maintenance,6,34,1855819,Depot A,42,23,15,4
3/1/2023,Inspection,5,3,6127702,Depot B,84,87,17,17
8/23/2023,Inspection,9,19,1010207,Depot B,42,5,2,9
6/24/2023,Maintenance,8,18,1684614,Depot A,25,63,12,16
6/16/2023,Inspection,4,5,4851324,Depot A,81,3,8,19
4/13/2023,Inspection,1,4,5049070,Depot A,67,16,19,6
4/3/2023,Repair,3,46,2952515,Depot A,94,83,12,16
3/31/2023,Inspection,10,14,7998978,Depot B,28,49,6,16
3/3/2023,Maintenance,3,29,1549745,Depot A,51,95,10,10
7/29/2023,Maintenance,3,6,5498631,Depot B,78,81,7,17
12/9/2023,Repair,5,21,275319,Depot A,8,76,13,12
7/1/2023,Inspection,6,12,8304165,Depot B,3,23,9,4
6/27/2023,Inspection,6,31,776272,Depot B,41,66,3,5
6/19/2023,Inspection,9,15,2504301,Depot B,24,26,3,8
6/29/2023,Inspection,8,23,1920123,Depot A,31,22,3,5
11/17/2023,Inspection,3,34,3763641,Depot B,25,63,17,17
3/8/2023,Maintenance,9,21,1981248,Depot A,75,26,8,1
1/2/2024,Repair,2,15,3834452,Depot B,100,40,15,1
11/16/2023,Maintenance,2,43,2525012,Depot A,29,36,2,17
1/11/2024,Maintenance,7,23,1606940,Depot A,66,69,16,20
11/13/2023,Maintenance,6,24,555437,Depot B,35,95,10,8
3/9/2023,Repair,2,1,8273196,Depot B,6,76,10,9
1/14/2024,Inspection,3,18,6870821,Depot A,63,81,9,19
3/3/2023,Repair,5,3,6413701,Depot B,66,64,0,0
7/22/2023,Inspection,8,38,5636982,Depot B,33,74,4,15
11/8/2023,Maintenance,4,14,8366792,Depot A,37,11,10,4
8/8/2023,Inspection,5,25,3800346,Depot A,46,77,5,20
1/30/2024,Inspection,1,20,7319408,Depot A,22,83,18,20
12/18/2023,Repair,8,5,3999720,Depot A,48,1,4,20
12/7/2023,Repair,5,0,7509995,Depot B,68,24,10,17
10/4/2023,Repair,10,30,4108311,Depot B,69,57,1,9
2/2/2024,Repair,5,38,9024685,Depot B,9,3,7,20
8/16/2023,Maintenance,6,16,7832386,Depot B,17,42,1,20
5/21/2023,Inspection,7,28,7826936,Depot B,60,28,19,0
1/14/2024,Maintenance,0,6,7633992,Depot A,53,41,10,13
1/19/2024,Inspection,7,21,2203363,Depot B,12,67,1,18
6/4/2023,Repair,6,20,92463,Depot B,17,24,14,5
7/7/2023,Repair,0,2,528473,Depot A,74,75,19,18
9/11/2023,Inspection,3,19,6677714,Depot B,40,76,11,11
4/27/2023,Inspection,2,30,3099965,Depot A,33,20,20,12
2/11/2024,Repair,10,34,180745,Depot B,40,26,18,4
12/3/2023,Repair,0,25,3061386,Depot B,85,23,20,16
11/13/2023,Inspection,3,5,418480,Depot A,42,72,6,11
3/6/2023,Maintenance,9,37,2331857,Depot B,87,25,14,9
3/12/2023,Maintenance,10,26,4754973,Depot B,61,13,7,9
3/16/2023,Inspection,10,0,9537404,Depot A,20,52,4,4
4/14/2023,Inspection,10,25,1422728,Depot B,91,44,18,20
12/6/2023,Maintenance,2,3,2589507,Depot A,43,36,18,17
9/4/2023,Maintenance,8,6,8985002,Depot B,69,52,4,18
3/5/2023,Maintenance,6,36,697454,Depot A,74,22,12,1
8/27/2023,Inspection,7,49,7869052,Depot B,22,41,15,10
5/19/2023,Inspection,8,24,6795888,Depot A,45,75,15,18
1/28/2024,Maintenance,10,50,7377102,Depot B,19,83,11,16
10/17/2023,Inspection,3,36,5623818,Depot A,25,73,4,14
8/23/2023,Repair,8,39,5322369,Depot B,62,98,10,19
2/19/2024,Inspection,7,31,5041636,Depot B,91,43,6,1
6/23/2023,Maintenance,8,50,1254465,Depot A,99,96,3,2
2/23/2024,Repair,2,15,9454763,Depot A,41,78,18,20
4/16/2023,Repair,7,0,9142076,Depot B,93,60,5,7
11/8/2023,Inspection,1,31,9364289,Depot A,24,84,8,18
6/29/2023,Inspection,8,33,303715,Depot A,37,26,14,17
2/24/2024,Maintenance,7,9,1101047,Depot B,89,26,5,2
10/30/2023,Maintenance,10,6,433347,Depot A,50,77,6,1
8/25/2023,Maintenance,5,45,5714956,Depot A,6,89,0,20
2/4/2024,Inspection,10,49,3877743,Depot B,44,59,16,17
4/6/2023,Repair,8,43,2430681,Depot B,25,39,13,8
12/6/2023,Inspection,1,28,4009008,Depot B,6,62,7,7
10/12/2023,Inspection,0,18,6324103,Depot B,96,1,17,20
5/1/2023,Inspection,6,10,8515523,Depot B,64,23,4,8
2/23/2024,Maintenance,6,33,1607638,Depot B,38,38,9,10
1/16/2024,Repair,0,6,1450692,Depot A,21,81,13,1
1/27/2024,Maintenance,7,43,6458511,Depot A,93,9,11,7
11/11/2023,Maintenance,5,3,2232242,Depot A,80,35,20,6
11/23/2023,Repair,6,12,7114820,Depot A,85,95,19,7
6/18/2023,Inspection,10,6,5317830,Depot A,88,57,14,4
11/6/2023,Inspection,9,43,1358738,Depot B,52,66,15,12
3/30/2023,Maintenance,2,10,3113357,Depot A,31,53,11,8
3/6/2023,Repair,8,35,9455090,Depot A,19,2,19,16
5/20/2023,Repair,2,43,2603735,Depot A,64,93,1,17
10/29/2023,Maintenance,3,34,7272073,Depot B,96,1,10,20
5/2/2023,Inspection,7,9,1432474,Depot A,34,73,3,5
5/17/2023,Inspection,8,24,4207315,Depot A,95,58,18,17
6/28/2023,Maintenance,3,33,5412663,Depot A,63,81,16,1
11/26/2023,Repair,1,23,458567,Depot B,46,41,7,7
5/7/2023,Maintenance,7,22,7124841,Depot A,7,36,1,16
2/27/2024,Inspection,6,7,4942042,Depot B,32,36,2,4
4/21/2023,Repair,4,45,6295684,Depot A,28,63,20,13
10/25/2023,Repair,1,26,323937,Depot B,94,48,2,2
7/21/2023,Repair,0,22,3631412,Depot B,99,36,9,20
2/17/2024,Maintenance,8,41,2050487,Depot B,95,27,13,18
1/7/2024,Maintenance,1,47,3520188,Depot B,14,63,6,16
10/24/2023,Maintenance,1,9,1998991,Depot A,21,64,17,12
9/22/2023,Repair,5,43,7768517,Depot A,34,18,7,2
10/30/2023,Maintenance,8,36,8665938,Depot A,39,28,11,15
8/5/2023,Repair,8,31,1281503,Depot A,92,88,15,3
8/24/2023,Repair,7,34,1034008,Depot B,74,49,17,11
10/24/2023,Maintenance,2,3,2050992,Depot A,40,9,0,11
8/21/2023,Maintenance,4,6,2223222,Depot B,18,37,12,2
8/20/2023,Repair,4,45,2343301,Depot A,4,48,3,16
1/13/2024,Inspection,6,43,1118927,Depot B,2,59,11,15
5/5/2023,Maintenance,9,46,7130502,Depot A,17,3,1,0
4/29/2023,Maintenance,7,23,2694471,Depot B,11,36,7,5
5/22/2023,Maintenance,8,38,3053535,Depot B,66,88,13,5
10/18/2023,Repair,3,14,5959566,Depot A,45,61,20,6
5/18/2023,Repair,0,13,309985,Depot B,85,63,16,18
12/12/2023,Repair,9,35,1024852,Depot A,57,95,5,4
9/18/2023,Maintenance,1,19,5850450,Depot A,75,8,3,15
11/11/2023,Repair,6,15,80495,Depot A,58,83,12,10
3/12/2023,Repair,5,12,6899223,Depot B,83,35,12,18
12/2/2023,Maintenance,0,29,4982597,Depot A,98,26,7,11
9/25/2023,Inspection,9,16,213862,Depot A,23,79,6,8
7/15/2023,Repair,6,30,157393,Depot A,94,7,10,15
11/30/2023,Maintenance,1,24,7404685,Depot A,66,61,11,12
6/17/2023,Inspection,8,5,4355332,Depot A,76,88,0,1
7/28/2023,Inspection,3,36,3844371,Depot A,41,14,15,2
6/13/2023,Inspection,3,43,7605500,Depot B,2,71,3,19
2/10/2024,Repair,9,13,7169392,Depot B,51,31,15,19
2/28/2023,Maintenance,8,2,342758,Depot A,89,25,4,19
9/12/2023,Repair,5,34,1072712,Depot B,84,97,7,10
11/8/2023,Inspection,6,32,9640176,Depot A,63,2,1,17
12/14/2023,Repair,3,39,3948181,Depot B,54,23,4,4
5/24/2023,Maintenance,2,13,1399786,Depot A,29,74,2,0
2/26/2024,Inspection,2,11,389766,Depot B,0,9,3,0
12/2/2023,Repair,6,18,1719456,Depot B,83,96,5,8
6/5/2023,Inspection,9,29,8432739,Depot A,42,55,12,15
6/16/2023,Maintenance,0,5,1769983,Depot B,75,27,8,11
12/6/2023,Repair,4,31,7424596,Depot B,4,65,15,7
4/24/2023,Inspection,7,18,8179748,Depot A,60,61,14,14
8/1/2023,Maintenance,4,18,9488200,Depot B,73,55,18,5
11/28/2023,Maintenance,3,29,9080940,Depot A,22,15,3,15
2/19/2024,Repair,0,17,9565217,Depot B,64,41,8,19
8/29/2023,Repair,1,32,3263714,Depot A,68,74,7,19
2/10/2024,Repair,8,46,791106,Depot A,88,14,9,14
8/12/2023,Inspection,9,32,7791898,Depot A,11,34,17,9
7/5/2023,Repair,2,32,9825899,Depot A,85,56,2,0
1/7/2024,Maintenance,3,21,5456783,Depot A,2,81,9,2
3/25/2023,Inspection,2,2,5302688,Depot A,56,29,12,0
7/18/2023,Inspection,2,20,6869867,Depot B,70,34,2,2
4/30/2023,Inspection,2,23,1062437,Depot A,1,9,7,7
7/18/2023,Maintenance,6,20,565436,Depot A,86,65,7,20
7/5/2023,Repair,0,4,3758705,Depot B,61,3,7,13
1/4/2024,Inspection,0,41,719681,Depot B,26,63,1,0
10/10/2023,Repair,3,22,5087692,Depot A,29,70,10,14
2/16/2024,Inspection,1,6,4330149,Depot B,20,64,3,4
12/1/2023,Maintenance,6,20,6714999,Depot B,3,98,8,10
10/30/2023,Maintenance,6,15,5925379,Depot A,53,71,7,2
2/27/2024,Inspection,5,20,6861301,Depot B,38,48,17,4
3/20/2023,Maintenance,9,44,721890,Depot A,71,21,11,6
7/5/2023,Repair,1,2,9993968,Depot A,50,57,16,3
5/19/2023,Inspection,1,10,1958527,Depot A,2,41,19,15
8/4/2023,Inspection,8,37,71044,Depot B,92,40,18,17
4/4/2023,Repair,7,31,6587213,Depot B,48,53,4,12
5/19/2023,Inspection,9,5,1907343,Depot A,62,19,16,2
2/7/2024,Maintenance,0,34,3546206,Depot B,47,59,19,14
10/1/2023,Inspection,8,42,4832747,Depot A,37,45,14,0
5/14/2023,Repair,8,11,1435043,Depot A,35,6,13,4
7/15/2023,Inspection,5,8,5504579,Depot A,19,92,4,19
10/21/2023,Inspection,10,12,8560622,Depot A,20,96,16,16
11/12/2023,Repair,9,45,7782060,Depot B,95,71,1,9
1/25/2024,Repair,9,11,1619812,Depot A,9,17,10,11
10/15/2023,Inspection,4,24,7830244,Depot A,8,43,1,7
8/3/2023,Repair,5,35,6002314,Depot A,99,61,18,18
7/16/2023,Inspection,5,5,5234447,Depot A,73,97,16,3
1/22/2024,Maintenance,0,27,2584892,Depot A,16,17,13,6
6/6/2023,Inspection,7,1,1869891,Depot B,59,48,6,11
11/27/2023,Maintenance,4,47,9656528,Depot A,57,39,19,7
7/7/2023,Repair,3,8,5513801,Depot B,61,84,15,5
1/15/2024,Maintenance,1,8,4720973,Depot B,85,95,16,19
12/30/2023,Repair,9,34,3713713,Depot A,85,80,6,11
10/31/2023,Repair,6,47,1631925,Depot B,67,25,10,18
1/30/2024,Maintenance,9,50,5106579,Depot A,84,26,18,18
4/25/2023,Repair,4,6,826977,Depot A,77,26,14,4
7/24/2023,Inspection,0,40,1531648,Depot B,80,15,15,11
12/30/2023,Maintenance,1,7,271278,Depot A,94,9,10,11
8/18/2023,Maintenance,5,24,5841110,Depot A,95,26,2,4
4/25/2023,Repair,8,23,2645283,Depot B,70,38,9,20
10/11/2023,Repair,4,11,6515999,Depot A,95,91,8,13
7/15/2023,Maintenance,5,32,274792,Depot B,58,16,17,3
9/18/2023,Maintenance,9,22,1103206,Depot A,3,46,5,5
3/10/2023,Inspection,5,18,8074742,Depot B,52,23,19,14
12/23/2023,Maintenance,3,44,8032714,Depot B,64,47,17,10
6/21/2023,Maintenance,6,45,3138831,Depot A,46,5,13,0
6/27/2023,Inspection,0,20,7032969,Depot B,35,89,13,16
1/2/2024,Repair,6,25,2162272,Depot B,6,94,6,10
6/15/2023,Maintenance,0,16,1986775,Depot A,76,65,15,18
8/21/2023,Inspection,2,2,3750438,Depot B,89,20,0,13
12/14/2023,Repair,6,50,5681707,Depot B,62,8,16,11
6/26/2023,Repair,3,28,6466500,Depot B,57,53,20,4
3/15/2023,Maintenance,6,41,3811516,Depot A,64,90,5,2
12/10/2023,Repair,5,1,2078609,Depot B,50,40,15,9
7/31/2023,Maintenance,7,8,4769857,Depot A,0,1,19,1
6/24/2023,Maintenance,10,19,3241956,Depot A,74,22,9,1
9/19/2023,Inspection,4,29,8878036,Depot B,78,69,16,16
3/23/2023,Maintenance,1,9,4558790,Depot B,17,72,2,6
10/17/2023,Repair,1,24,9030232,Depot A,10,6,17,20
1/15/2024,Inspection,1,4,9000425,Depot B,26,0,0,8
4/22/2023,Repair,0,39,5021220,Depot A,57,14,14,17
6/26/2023,Inspection,6,2,187763,Depot A,7,0,14,14
1/9/2024,Maintenance,4,42,770724,Depot A,34,86,17,13
4/25/2023,Repair,8,40,7311402,Depot B,16,73,10,2
8/15/2023,Inspection,9,46,4945550,Depot A,70,71,17,15
9/26/2023,Repair,0,7,7793514,Depot B,10,1,17,0
11/26/2023,Inspection,3,3,6097035,Depot A,69,60,2,17
5/20/2023,Repair,6,37,8310271,Depot A,29,73,8,19
6/14/2023,Repair,8,50,4667205,Depot B,71,82,9,0
8/28/2023,Maintenance,9,35,1658811,Depot A,39,54,3,16
1/27/2024,Inspection,1,49,2841463,Depot B,96,39,16,17
3/3/2023,Repair,0,15,3626312,Depot B,14,46,15,13
8/15/2023,Repair,0,43,7338014,Depot B,11,9,19,9
3/19/2023,Inspection,1,5,9362899,Depot A,57,95,1,1
5/6/2023,Maintenance,4,27,2042145,Depot B,50,74,0,20
12/25/2023,Repair,3,12,2163420,Depot B,92,13,0,3
7/28/2023,Inspection,2,8,299250,Depot B,39,16,19,8
5/15/2023,Maintenance,2,22,3712320,Depot A,61,54,14,2
12/21/2023,Maintenance,5,34,1943107,Depot B,97,12,16,10
4/19/2023,Inspection,8,35,6885894,Depot B,51,11,15,19
2/6/2024,Inspection,3,41,9916984,Depot A,24,52,15,14
9/27/2023,Maintenance,0,39,8636461,Depot B,49,27,12,12
9/25/2023,Repair,6,21,1637983,Depot A,6,70,9,13
3/14/2023,Repair,9,17,4657068,Depot A,18,57,4,17
3/26/2023,Maintenance,2,32,9381279,Depot A,7,39,10,8
9/27/2023,Repair,4,13,4394636,Depot B,10,9,20,14
10/5/2023,Maintenance,9,33,835795,Depot A,21,87,3,19
2/14/2024,Maintenance,10,23,6192240,Depot A,93,46,8,3
8/14/2023,Repair,10,10,4175011,Depot A,17,87,1,4
10/4/2023,Inspection,10,14,1045144,Depot B,2,99,4,12
6/28/2023,Inspection,4,45,7625520,Depot A,91,12,13,14
6/25/2023,Inspection,0,39,6731516,Depot A,81,85,6,10
2/1/2024,Repair,4,39,8438779,Depot B,44,56,1,9
4/28/2023,Repair,2,0,7441325,Depot B,97,93,17,16
1/31/2024,Maintenance,8,20,8676146,Depot B,33,98,12,10
2/11/2024,Repair,1,10,4825283,Depot A,7,31,16,1
10/19/2023,Inspection,0,27,1846972,Depot A,28,84,16,17
7/12/2023,Maintenance,5,44,1932491,Depot A,36,13,17,14
2/18/2024,Maintenance,0,18,937656,Depot B,99,34,20,7
4/4/2023,Inspection,4,40,2278355,Depot A,52,5,5,4
9/5/2023,Inspection,9,12,7908281,Depot B,100,98,19,15
9/25/2023,Maintenance,8,20,3850333,Depot B,66,66,16,2
1/18/2024,Inspection,8,23,4548993,Depot A,94,25,10,7
7/15/2023,Maintenance,1,37,9577134,Depot B,75,5,15,3
6/4/2023,Inspection,9,27,695306,Depot B,50,91,6,12
6/19/2023,Repair,4,5,5611762,Depot A,40,75,8,12
6/12/2023,Inspection,9,44,1686965,Depot A,16,0,18,10
9/5/2023,Maintenance,0,9,506419,Depot B,18,63,0,9
9/24/2023,Inspection,8,48,9578468,Depot B,12,16,20,4
1/28/2024,Repair,7,15,1673445,Depot A,0,45,6,15
3/27/2023,Repair,8,3,7377221,Depot A,4,25,10,10
11/7/2023,Repair,8,40,5804664,Depot B,93,89,13,14
4/28/2023,Inspection,2,16,9318724,Depot A,66,84,20,20
8/21/2023,Inspection,4,7,4833453,Depot B,53,5,13,11
4/4/2023,Inspection,1,43,3618958,Depot A,45,71,13,7
3/19/2023,Maintenance,10,27,7241895,Depot A,35,100,4,8
11/1/2023,Inspection,10,19,8331044,Depot A,77,17,18,13
9/20/2023,Repair,4,23,9838735,Depot A,94,51,10,12
11/11/2023,Maintenance,8,42,7974344,Depot B,55,2,18,20
10/23/2023,Inspection,1,24,4926953,Depot A,11,70,18,19
10/7/2023,Repair,4,37,6410859,Depot B,75,34,2,7
9/11/2023,Inspection,9,27,6156690,Depot B,62,1,18,17
11/2/2023,Maintenance,5,9,5288307,Depot B,44,50,5,8
5/1/2023,Inspection,5,15,6103789,Depot B,79,45,15,4
9/14/2023,Inspection,2,24,7691830,Depot B,22,25,17,1
6/13/2023,Maintenance,5,25,2219682,Depot A,20,62,3,17
9/9/2023,Repair,7,48,5788449,Depot B,66,43,5,20
8/23/2023,Inspection,5,37,8977482,Depot A,81,5,7,18
